318	24
(14.598,-494.333)	(447.782,-240.555)	(480.073,202.309)	(266.516,458.967)	(106.848,525.114)	(125.593,520.355)	(311.635,427.624)	(503.745,123.408)	(390.115,-321.685)	(-91.4647,-483.264)	(-461.847,-125.29)	(-316.15,343.103)	(114.522,441.735)	(400.668,200.702)	(432.961,-88.9358)	(347.452,-266.67)	(280.17,-334.185)	(288.225,-327.539)	(365.964,-241.766)	(441.335,-38.8041)	(366.311,260.643)	(30.875,457.152)	(-382.27,271.334)	(-425.612,-224.239)
(-289.284,-390.975)	(-465.557,86.3814)	(-147.907,437.879)	(263.07,368.485)	(439.089,74.5595)	(402.681,-177.584)	(312.138,-305.756)	(272.224,-340.433)	(312.418,-305.481)	(403.012,-176.871)	(438.922,75.6735)	(261.923,369.339)	(-149.545,437.362)	(-465.947,84.5013)	(-287.696,-392.207)	(225.052,-446.656)	(510.728,-54.8795)	(402.998,337.101)	(182.783,501.215)	(89.4077,528.905)	(183.439,500.953)	(403.793,336.091)	(510.493,-56.5922)	(223.266,-447.494)
(350.234,282.797)	(440.662,62.9203)	(433.213,-87.8174)	(416.877,-143.388)	(428.25,-107.787)	(443.726,22.5063)	(383.277,233.701)	(155.752,427.935)	(-210.041,413.374)	(-465.974,84.3707)	(-340.692,-344.712)	(86.9169,-488.736)	(439.087,-255.173)	(509.484,92.1649)	(417.374,317.999)	(353,392.038)	(396.298,345.42)	(495.889,155.02)	(477.91,-178.534)	(182.174,-464.496)	(-262.595,-410.345)	(-475.67,-13.617)	(-286.396,367.206)	(83.128,449.417)
(211.689,401.701)	(-141.142,439.94)	(-442.394,163.466)	(-394.953,-277.25)	(2.33307,-494.231)	(394.585,-316.478)	(515.025,33.4982)	(436.744,289.022)	(357.319,387.87)	(380.774,363.455)	(479.973,202.566)	(499.682,-111.976)	(256.808,-430.271)	(-186.76,-452.286)	(-467.721,-97.9831)	(-344.704,315.735)	(16.8077,458.194)	(315.219,322.941)	(434.528,100.112)	(437.3,-67.313)	(418.055,-140.137)	(424.334,-121.263)	(443.572,-8.6563)	(404.854,191.629)
(38.0379,-493.684)	(-312.614,-371.611)	(-475.224,-31.973)	(-354.726,304.947)	(-72.3986,454.74)	(190.015,412.974)	(346.004,288.182)	(409.646,180.535)	(424.818,138.182)	(412.645,173.141)	(355.588,275.729)	(210.313,402.461)	(-43.4733,457.766)	(-331.071,329.381)	(-475.395,5.16373)	(-340.075,-345.352)	(1.90673,-494.222)	(325.737,-383.634)	(486.861,-154.737)	(515.15,29.7733)	(508.403,98.9594)	(514.635,42.0581)	(493.939,-132.821)	(349.393,-363.364)
(504.285,-92.1321)	(301.939,-401.65)	(-111.888,-478.405)	(-440.469,-191.257)	(-409.589,230.327)	(-93.4544,451.366)	(231.211,390.226)	(403.423,194.791)	(443.802,19.723)	(436.567,-71.3928)	(436.667,-70.8492)	(443.758,21.4251)	(402.263,197.308)	(228.009,392.199)	(-97.9608,450.513)	(-412.237,225.805)	(-438.352,-196.386)	(-106.499,-479.777)	(306.082,-398.671)	(505.129,-88.0496)	(485.084,188.868)	(415.059,321.199)	(415.636,320.406)	(485.997,186.29)
(496.107,-125.348)	(205.525,-455.361)	(-266.832,-407.451)	(-474.746,18.534)	(-240.532,397.312)	(152.979,429.002)	(396.021,210.194)	(442.092,-31.2301)	(401.355,-180.407)	(373.518,-230.443)	(394.74,-193.773)	(438.452,-60.4051)	(413.517,170.917)	(203.227,406.278)	(-181.908,425.756)	(-464.782,90.0025)	(-325.125,-360.155)	(136.677,-478.577)	(475.007,-185.557)	(484.621,190.159)	(340.447,403.636)	(259.78,463.078)	(320.751,420.403)	(466.315,234.482)
(239.114,-439.753)	(452.222,-232.636)	(513.613,-28.4449)	(511.841,74.6854)	(513.868,53.8148)	(505.136,-88.0155)	(400.715,-309.098)	(132.068,-479.742)	(-225.517,-433.049)	(-457.865,-140.415)	(-416.181,218.847)	(-165.53,431.968)	(114.081,441.859)	(303.342,334.599)	(391.611,218.713)	(418.701,156.908)	(414.023,169.613)	(371.183,253.329)	(252.755,375.964)	(27.514,457.44)	(-261.253,384.665)	(-460.758,106.961)	(-407.545,-257.317)	(-108.579,-479.255)
(-37.7887,-491.767)	(-458.515,-138.08)	(-297.278,358.855)	(168.821,422.621)	(429.741,120.62)	(396.75,-189.83)	(257.396,-351.327)	(163.791,-401.297)	(168.68,-399.377)	(270.047,-342.094)	(407.607,-166.607)	(419.682,154.084)	(128.369,437.585)	(-334.598,325.957)	(-441.275,-189.258)	(17.183,-494.316)	(469.749,-197.578)	(437.857,287.223)	(142.886,515.318)	(-56.549,537.872)	(-46.364,538.534)	(170.197,506.049)	(458.914,249.661)	(446.077,-243.511)
(293.182,-407.741)	(513.122,62.5594)	(295.106,439.917)	(20.0947,538.137)	(-76.1594,536.054)	(42.7519,536.124)	(328.078,414.359)	(515.343,7.85607)	(240.36,-439.115)	(-307.1,-376.412)	(-449.854,143.302)	(-61.7712,456.067)	(342.535,292.477)	(439.908,-50.5001)	(328.414,-288.909)	(200.887,-384.968)	(154.972,-404.587)	(211.487,-379.516)	(343.869,-271.091)	(443.216,-16.0217)	(312.571,325.615)	(-114.206,447.051)	(-465.645,85.96)	(-257.069,-414.022)
(-67.5218,-487.807)	(252.12,-432.872)	(444.44,-246.306)	(507.704,-74.4012)	(515.219,1.27356)	(512.555,-39.6821)	(474.191,-187.478)	(326.413,-383.09)	(36.4147,-493.764)	(-293.349,-387.775)	(-470.7,-79.9367)	(-395.616,252.464)	(-150.3,437.122)	(107.408,443.683)	(281.986,353.562)	(366.782,259.949)	(392.801,216.457)	(379.448,240.162)	(315.845,322.303)	(170.634,421.847)	(-67.394,455.396)	(-332.141,328.35)	(-474.078,27.7626)	(-371.067,-310.028)
(-263.741,-409.569)	(-464.817,-112.45)	(-410.223,229.256)	(-169.737,430.44)	(94.9376,446.803)	(278.262,356.631)	(368.593,257.256)	(397.777,206.674)	(388.527,224.417)	(332.507,304.315)	(197.626,409.183)	(-33.8391,458.366)	(-305.414,352.27)	(-469.783,63.4443)	(-391.084,-282.968)	(-95.7184,-482.328)	(233.336,-442.656)	(438.618,-255.931)	(507.741,-74.1888)	(515.382,13.3432)	(514.436,-16.9838)	(485.536,-158.496)	(353.773,-359.322)	(74.318,-490.48)
