866	3
-0.103262	0.180107	0
-0.0589501	-0.0663771	0
-0.0464104	-0.0745332	0
-0.0529786	0.139076	0
-0.0521112	0.153221	0
-0.0382659	0.144758	0
0.116209	0.0667848	0
0.104076	0.0718204	0
-0.0441766	0.0745973	0
-0.037427	0.0592705	0
-0.0548767	0.0664411	0
0.177918	-0.0190315	0
0.16275	-0.0176462	0
0.171604	-0.00800306	0
-0.054203	0.0507692	0
0.188626	0.103876	0
0.183149	0.0890708	0
0.173078	0.103883	0
-0.156919	-0.0354253	0
-0.169782	-0.0202241	0
-0.152903	-0.0192835	0
-0.0945205	-0.175998	0
-0.105681	-0.184616	0
-0.173744	-0.0346403	0
-0.183643	0.0779155	0
-0.118754	-0.0331906	0
-0.113283	-0.0461637	0
-0.126327	-0.0458773	0
0.0744936	-0.187393	0
0.124253	0.0577117	0
0.0704851	0.185855	0
-0.117665	-0.0573416	0
-0.0402061	-0.151225	0
-0.0265559	-0.149122	0
-0.0331724	-0.163373	0
0.119276	-0.136045	0
0.103902	-0.13295	0
0.111863	-0.120728	0
0.0967679	-0.121764	0
-0.0185084	-0.163016	0
0.186456	0.0724967	0
0.0619442	-0.0932885	0
0.0711466	-0.104637	0
0.0577777	-0.108731	0
-0.17726	0.0410914	0
-0.163774	0.037825	0
-0.140499	0.13006	0
-0.129209	0.137513	0
-0.128388	0.12562	0
-0.187021	0.0294367	0
0.0937766	-0.0188401	0
0.108754	-0.0253353	0
0.0990854	-0.0378139	0
0.0298062	0.0577768	0
0.0417201	0.0685105	0
0.0410819	0.0510273	0
0.0541925	0.0551447	0
0.0572449	0.0689374	0
0.136956	0.00947621	0
0.132518	0.0194875	0
0.143279	0.0205762	0
0.0254022	0.0695639	0
0.13553	0.0327119	0
-0.00396095	-0.13341	0
-0.0115523	-0.148209	0
-0.0224576	-0.134179	0
0.116344	-0.0356604	0
0.0265854	0.0952666	0
0.0136587	0.0930333	0
-0.00461122	-0.163379	0
0.0417852	-0.163967	0
0.0547465	-0.168014	0
0.0532029	-0.153601	0
0.144287	0.126769	0
0.157085	0.131632	0
0.152664	0.119097	0
0.0177874	-0.0373119	0
0.00370163	-0.031361	0
0.0141426	-0.0211059	0
0.00279013	-0.150047	0
0.178325	0.0637458	0
0.16935	0.0762826	0
0.0107698	0.0134435	0
0.0163871	0.0236955	0
0.028616	0.0151537	0
-0.0147337	0.0404291	0
-0.00717422	0.0496754	0
-0.00243647	0.0371949	0
0.0269287	0.0302852	0
-0.165336	0.170102	0
-0.172626	0.157357	0
-0.0630801	-0.186244	0
-0.04599	-0.187203	0
0.00158388	0.0249094	0
0.0117784	0.0349456	0
-0.0187413	0.1226	0
-0.00156242	0.126199	0
-0.186918	-0.0279673	0
-0.185857	-0.0131133	0
0.175632	0.00467957	0
0.166834	0.0173378	0
0.183932	0.0190733	0
-0.133991	-0.0580175	0
-0.123111	-0.0685713	0
-0.134891	-0.0737855	0
0.0048432	0.138798	0
0.00928999	0.1503	0
0.159832	0.145697	0
0.1649	0.163242	0
